Vendor,Category,Item,Calories,Fat,Carbs,Fiber,Protein,Sodium
Starbucks,Snacks & Sides,Chonga Bagel,300,5,50,3,12,160
Starbucks,Snacks & Sides,8-Grain Roll,380,6,70,7,10,115
Starbucks,Snacks & Sides,Almond Croissant,410,22,45,3,10,170
Starbucks,Snacks & Sides,Apple Fritter,460,23,56,2,7,140
Starbucks,Snacks & Sides,Banana Nut Bread,420,22,52,2,6,100
Starbucks,Snacks & Sides,Blueberry Muffin with Yogurt and Honey,380,16,53,1,6,150
Starbucks,Snacks & Sides,Blueberry Scone,420,17,61,2,5,150
Starbucks,Snacks & Sides,Butter Croissant,240,12,28,1,5,180
Starbucks,Snacks & Sides,Butterfly Cookie,350,22,38,0,2,160
Starbucks,Snacks & Sides,Cheese Danish,320,16,36,1,8,115
Starbucks,Snacks & Sides,Chewy Chocolate Cookie,170,5,30,2,2,90
Starbucks,Snacks & Sides,Chocolate Chip Cookie,310,15,42,2,4,150
Starbucks,Snacks & Sides,Chocolate Chunk Muffin,440,21,60,2,7,95
Starbucks,Snacks & Sides,Chocolate Croissant,330,18,38,1,6,180
Starbucks,Snacks & Sides,Chocolate Hazelnut Croissant,390,22,43,2,7,100
Starbucks,Desserts,Chocolate Marble Loaf Cake,490,24,64,2,6,190
Starbucks,Snacks & Sides,Cinnamon Morning Bun,390,15,56,2,8,160
Starbucks,Snacks & Sides,Cinnamon Raisin Bagel,270,1,58,3,9,160
Starbucks,Coffee & Tea,Classic Coffee Cake,390,16,57,1,5,40
Starbucks,Snacks & Sides,Cookie Butter Bar,360,23,36,0,2,150
Starbucks,Snacks & Sides,Cranberry Orange Scone,420,15,64,1,6,240
Starbucks,Snacks & Sides,Devil's Food Doughnut,430,23,53,2,5,0
Starbucks,Desserts,Double Chocolate Brownie,410,24,46,3,6,200
Starbucks,Desserts,Double Chocolate Chunk Brownie,490,28,55,3,7,220
Starbucks,Desserts,Double Chocolate Loaf Cake,440,23,54,3,5,180
Starbucks,Snacks & Sides,Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0,3,135
Starbucks,Snacks & Sides,Everything Bagel with Cheese,290,3.5,53,2,11,135
Starbucks,Coffee & Tea,Frappuccino® Cookie Straw,90,3,14,0,1,170
Starbucks,Snacks & Sides,French Toast - Bantam Bagels (2 Pack),200,8,30,0,6,130
Starbucks,Snacks & Sides,Gluten-Free Marshmallow Dream Bar,240,5,45,0,2,160
Starbucks,Snacks & Sides,Ice Cream Cone Sugar Cookie,250,14,29,1,3,115
Starbucks,Coffee & Tea,Iced Lemon Pound Cake,470,20,68,1,6,170
Starbucks,Snacks & Sides,Michigan Cherry Oat Bar,310,10,47,2,3,140
Starbucks,Snacks & Sides,Multigrain Bagel,350,4,64,8,17,100
Starbucks,Snacks & Sides,Oatmeal Raisin Cookie,290,12,40,3,5,150
Starbucks,Snacks & Sides,Octopus Cookie,330,18,39,1,3,150
Starbucks,Snacks & Sides,Old-Fashioned Glazed Doughnut,480,27,56,1,5,180
Starbucks,Snacks & Sides,Peanut butter cup cookie,360,21,36,3,8,160
Starbucks,Snacks & Sides,Pecan Tart,330,18,39,1,4,115
Starbucks,Snacks & Sides,Petite Vanilla Bean Scone,120,4.5,18,0,2,90
Starbucks,Snacks & Sides,Plain Bagel,280,1.5,56,2,9,150
Starbucks,Snacks & Sides,Pumpkin Bread,410,15,63,2,6,95
Starbucks,Desserts,Raspberry Swirl Loaf Cake,420,17,61,1,6,180
Starbucks,Desserts,Raspberry Whoopie Pie,360,18,45,1,3,100
Starbucks,Coffee & Tea,Reduced-Fat Cinnamon Swirl Coffee Cake,370,9,67,2,5,190
Starbucks,Desserts,S'mores Bar,330,17,44,1,2,160
Starbucks,Desserts,S'mores Bar Multipack,330,17,44,1,2,160
Starbucks,Snacks & Sides,Sprouted Grain Vegan Bagel,330,6,57,7,12,40
Starbucks,Desserts,Strawberry Cake Pop,180,9,23,0,2,150
Starbucks,Snacks & Sides,The Classic - Bantam Bagels (2 Pack),200,8,28,0,6,240
Starbucks,Desserts,Toffeedoodle,300,13,44,1,3,0
Starbucks,Desserts,Vanilla Bean Whoopie Pie,360,18,45,1,3,200
Starbucks,Snacks & Sides,Vermont Maple Walnut Muffin,390,21,45,2,6,220
Starbucks,Snacks & Sides,Volpi™ Pepperoni & Tomato Savory Foldover,270,14,27,2,10,180
Starbucks,Sandwiches,Strawberries & Jam Sandwich,600,25,80,10,19,135
Starbucks,Snacks & Sides,Burrata & Basil Pesto Small Sandwich,300,14,34,2,11,135
Starbucks,Salad,Cage-Free Eggs & Seasoned Grains Side Salad,360,18,33,3,17,170
Starbucks,Salad,Cauliflower Tabbouleh Side Salad,130,12,7,3,2,130
Starbucks,Sandwiches,Cubano Sandwich,430,23,34,3,21,160
Starbucks,Salad,Farmers' Market Protein Box,470,29,29,4,21,115
Starbucks,Salad,Garden Greens & Shaved Parmesan Side Salad,170,13,9,2,7,170
Starbucks,Salad,Green Goddess Avocado Salad,620,37,62,10,13,140
Starbucks,Sandwiches,Herbed Chicken & Fig Spread Small Sandwich,300,8,43,2,19,100
Starbucks,Sandwiches,Honey BBQ Sriracha Chicken Sandwich,360,7,52,3,22,150
Starbucks,Salad,Roasted Carrot & Kale Side Salad,440,26,44,7,10,150
Starbucks,Sandwiches,Roasted Turkey & Dill Havarti Sandwich,600,32,47,6,32,180
Starbucks,Coffee & Tea,Seared Steak & Cheddar Sandwich,530,29,44,2,23,160
Starbucks,Sandwiches,Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350,18,31,1,16,115
Starbucks,Sandwiches,Smoked Mozzarella & Roasted Pepper Sandwich,500,28,46,4,18,90
Starbucks,Salad,Turkey & Fire-Roasted Corn Salad,560,29,53,7,24,150
Starbucks,Salad,Za'atar Chicken & Lemon Tahini Salad,570,23,67,11,27,95
Starbucks,Sandwiches,BBQ Chicken Protein Box,420,16,49,5,22,180
Starbucks,Salad,Cheese & Fruit Protein Box,450,27,34,4,20,100
Starbucks,Sandwiches,Chicken Wrap Protein Box,460,22,45,4,20,190
Starbucks,Sandwiches,Eggs & Cheese Protein Box,460,24,40,5,23,160
Starbucks,Salad,PB&J Protein Box,520,26,53,5,20,160
Starbucks,Sandwiches,Smoked Turkey Protein Box,360,12,42,5,24,40
Starbucks,Desserts,Birthday Cake Pop,170,9,23,0,1,150
Starbucks,Desserts,Chocolate Cake Pop,160,8,23,1,2,240
Starbucks,Desserts,Chocolate Chip Cookie Dough Cake Pop,180,9,23,0,2,0
Starbucks,Desserts,Pirate Cake Pop,180,9,24,0,1,200
Starbucks,Sandwiches,Bacon Clubhouse Grilled Chicken Sandwich,370,19,32,1,18,220
Starbucks,Sandwiches,Certified Gluten-Free Breakfast Sandwich,280,13,18,6,18,180
Starbucks,Snacks & Sides,Classic Whole-Grain Oatmeal,160,2.5,28,4,5,135
Starbucks,Sandwiches,Double-Smoked Bacon Cheddar & Egg Sandwich,490,27,40,1,21,135
Starbucks,Snacks & Sides,Ham & Cheese Croissant,320,17,28,1,14,170
Starbucks,Snacks & Sides,Hearty Blueberry Oatmeal,220,2.5,43,5,5,130
Starbucks,Sandwiches,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230,6,28,2,16,65
Starbucks,Sandwiches,Sausage Cheddar & Egg Breakfast Sandwich,500,28,41,1,15,90
Starbucks,Sandwiches,Seared Steak Egg & Tomatillo Wrap,410,18,43,2,21,65
Starbucks,Sandwiches,Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,450,23,42,1,24,10
Starbucks,Sandwiches,Sous Vide Egg Bites: Bacon & Gruyere,310,22,9,0,19,10
Starbucks,Sandwiches,Sous Vide Egg Bites: Egg White & Red Pepper,170,7,13,1,13,15
Starbucks,Sandwiches,Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,500,30,35,3,26,65
Starbucks,Sandwiches,Spinach Feta & Cage Free Egg White Breakfast Wrap,290,10,33,6,19,90
Starbucks,Sandwiches,Ancho Chipotle Chicken Panini ,500,19,57,4,26,65
Starbucks,Sandwiches,Chicken & Quinoa Protein Bowl with Black Beans and Greens,420,17,42,9,27,10
Starbucks,Sandwiches,Chicken Artichoke on Ancient Grain Flatbread,510,27,37,5,24,10
Starbucks,Sandwiches,Chicken BLT Salad Sandwich,470,25,35,3,21,15
Starbucks,Salad,Egg Salad Sandwich,480,27,42,7,16,180
Starbucks,Sandwiches,Homestyle Chicken & Double-Smoked Bacon,480,17,57,3,23,135
Starbucks,Sandwiches,Italian-Style Ham & Spicy Salami,480,20,49,3,22,135
Starbucks,Salad,Lentils & Vegetable Protein Bowl with Brown Rice,650,29,80,21,23,170
Starbucks,Sandwiches,Roasted Tomato & Mozzarella Panini,420,18,47,3,11,130
Starbucks,Sandwiches,Turkey & Havarti Sandwich,460,21,31,2,29,160
Starbucks,Sandwiches,Turkey Pesto Panini,560,23,55,3,34,180
Starbucks,Snacks & Sides,Berry Trio Yogurt,240,2.5,39,3,14,135
Starbucks,Snacks & Sides,Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2,14,135
Starbucks,Snacks & Sides,Justin's Chocolate Hazelnut Butter,180,14,12,3,4,170
Starbucks,Snacks & Sides,Justin's Classic Almond Butter,190,18,6,3,7,130
Starbucks,Snacks & Sides,Lemon Chiffon Yogurt,340,13,38,0,18,160
Starbucks,Snacks & Sides,Organic Avocado (Spread),90,8,5,4,1,89
Starbucks,Snacks & Sides,Seasonal Fruit Blend,90,0,24,4,1,90
Starbucks,Beverages,Cool Lime Starbucks Refreshersâ„¢ Beverage,45,0,11,0,0,10
Starbucks,Beverages,Strawberry Acai Starbucks Refreshersâ„¢ Beverage,80,0,18,1,0,10
Starbucks,Beverages,Very Berry Hibiscus Starbucks Refreshersâ„¢ Beverage,60,0,14,1,0,10
Starbucks,Beverages,Ginger Lemonade,110,0,28,0,0,5
Starbucks,Coffee & Tea,Coffee,0,0,0,0,0,0
Starbucks,Coffee & Tea,Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5,65
Starbucks,Coffee & Tea,Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5,90
Starbucks,Coffee & Tea,Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5,65
Starbucks,Coffee & Tea,Shaken Sweet Tea,80,0,19,0,0,10
Starbucks,Beverages,TazoÂ® Bottled Berry Blossom White,60,0,15,0,0,10
Starbucks,Beverages,TazoÂ® Bottled Black Mango,150,0,38,0,0,15
Starbucks,Beverages,TazoÂ® Bottled Black with Lemon,140,0,35,0,0,10
Starbucks,Beverages,TazoÂ® Bottled Brambleberry,140,0,35,0,0,15
Starbucks,Beverages,TazoÂ® Bottled Giant Peach,150,0,37,0,0,15
Starbucks,Coffee & Tea,TazoÂ® Bottled Iced Passion,70,0,17,0,0,10
